definition1,sensekey1,relation,sensekey2,definition2
lose or cause to lose liquid by vaporization leaving a more concentrated residue,vaporise%2:30:01::,event,vapor%1:22:00::,the process of becoming a vapor
lose or cause to lose liquid by vaporization leaving a more concentrated residue,vaporise%2:30:01::,result,vapor%1:27:01::,a visible suspension in the air of particles of some substance
lose or cause to lose liquid by vaporization leaving a more concentrated residue,vaporise%2:30:01::,event,vaporisation%1:22:00::,the process of becoming a vapor
turn into gas,vaporize%2:30:00::,event,vapor%1:22:00::,the process of becoming a vapor
turn into gas,vaporize%2:30:00::,result,vapor%1:27:01::,a visible suspension in the air of particles of some substance
turn into gas,vaporize%2:30:00::,event,vaporization%1:22:00::,the process of becoming a vapor
lose or cause to lose liquid by vaporization leaving a more concentrated residue,vaporize%2:30:01::,agent,vapor%1:22:00::,the process of becoming a vapor
lose or cause to lose liquid by vaporization leaving a more concentrated residue,vaporize%2:30:01::,result,vapor%1:27:01::,a visible suspension in the air of particles of some substance
lose or cause to lose liquid by vaporization leaving a more concentrated residue,vaporize%2:30:01::,event,vaporization%1:22:00::,the process of becoming a vapor
make something more diverse and varied,variegate%2:30:00::,event,variegation%1:04:00::,the act of introducing variety (especially in investments or in the variety of goods and services offered)
"change the appearance of, especially by marking with different colors",variegate%2:30:01::,event,variegation%1:07:00::,variability in coloration
cover with varnish,varnish%2:35:00::,uses,varnish%1:06:00::,"a coating that provides a hard, lustrous, transparent finish to a surface"
cover with varnish,varnish%2:35:00::,agent,varnisher%1:18:00::,someone who applies a finishing coat of varnish
"become different in some particular way, without permanently losing one's or its former characteristics or essence",vary%2:30:01::,result,variation%1:09:01::,something a little different from others of the same type
make something more diverse and varied,vary%2:30:04::,event,variation%1:04:01::,the act of changing or altering something slightly but noticeably from the norm or standard
be at variance with; be out of line with,vary%2:42:00::,event,variance%1:04:00::,an activity that varies from a norm or standard
be at variance with; be out of line with,vary%2:42:00::,event,variation%1:04:00::,an activity that varies from a norm or standard
be at variance with; be out of line with,vary%2:42:00::,agent,variation%1:18:00::,(biology) an organism that has characteristics resulting from chromosomal alteration
be at variance with; be out of line with,vary%2:42:00::,event,variation%1:19:00::,(astronomy) any perturbation of the mean motion or orbit of a planet or satellite (especially a perturbation of the earth's moon)
be subject to change in accordance with a variable,vary%2:42:01::,event,variation%1:11:01::,an instance of change; the rate or magnitude of change
be subject to change in accordance with a variable,vary%2:42:01::,event,variation%1:19:00::,(astronomy) any perturbation of the mean motion or orbit of a planet or satellite (especially a perturbation of the earth's moon)
make vascular,vascularize%2:30:00::,event,vascularization%1:22:00::,the organic process whereby body tissue becomes vascular and develops capillaries
become vascular and have vessels that circulate fluids,vascularize%2:30:01::,event,vascularization%1:22:00::,the organic process whereby body tissue becomes vascular and develops capillaries
"predict or reveal through, or as if through, divine inspiration",vaticinate%2:32:00::,event,vaticination%1:09:00::,knowledge of the future (usually said to be obtained from a divine source)
"predict or reveal through, or as if through, divine inspiration",vaticinate%2:32:00::,agent,vaticinator%1:18:00::,an authoritative person who divines the future
foretell through or as if through the power of prophecy,vaticinate%2:32:01::,event,vaticination%1:09:00::,knowledge of the future (usually said to be obtained from a divine source)
foretell through or as if through the power of prophecy,vaticinate%2:32:01::,agent,vaticinator%1:18:00::,an authoritative person who divines the future
bound vigorously,vault%2:38:00::,agent,vaulter%1:18:00::,an athlete who jumps over a high crossbar with the aid of a long pole
jump across or leap over (an obstacle),vault%2:38:01::,event,vault%1:04:00::,the act of jumping over an obstacle
jump across or leap over (an obstacle),vault%2:38:01::,agent,vaulter%1:18:00::,an athlete who jumps over a high crossbar with the aid of a long pole
show off,vaunt%2:32:00::,event,vaunt%1:10:00::,extravagant self-praise
show off,vaunt%2:32:00::,agent,vaunter%1:18:00::,a very boastful and talkative person
engage in passive relaxation,vegetate%2:29:00::,event,vegetation%1:04:00::,"inactivity that is passive and monotonous, comparable to the inactivity of plant life"
grow like a plant,vegetate%2:30:00::,event,vegetation%1:22:00::,the process of growth in plants
produce vegetation,vegetate%2:30:01::,event,vegetation%1:22:00::,the process of growth in plants
establish vegetation on,vegetate%2:30:02::,undergoer,vegetation%1:14:00::,all the plant life in a particular region or period
grow or spread abnormally,vegetate%2:30:04::,event,vegetation%1:08:00::,an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)
lead a passive existence without using one's body or mind,vegetate%2:42:00::,event,vegetation%1:04:00::,"inactivity that is passive and monotonous, comparable to the inactivity of plant life"
"to obscure, or conceal with or as if with a veil",veil%2:35:00::,by means of,veil%1:06:00::,a garment that covers the head and face
"to obscure, or conceal with or as if with a veil",veil%2:35:00::,by means of,veil%1:06:01::,a vestment worn by a priest at High Mass in the Roman Catholic Church; a silk shawl
"touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements",vellicate%2:39:00::,event,vellication%1:26:00::,a sudden muscle spasm; especially one caused by a nervous condition
sell or offer for sale from place to place,vend%2:40:00::,agent,vender%1:18:00::,someone who promotes or exchanges goods or services for money
sell or offer for sale from place to place,vend%2:40:00::,event,vendition%1:04:00::,the act of selling goods for a living
sell or offer for sale from place to place,vend%2:40:00::,agent,vendor%1:18:00::,someone who promotes or exchanges goods or services for money
cover with veneer,veneer%2:35:00::,undergoer,veneer%1:06:01::,coating consisting of a thin layer of superior wood glued to a base of inferior wood
cover with veneer,veneer%2:35:00::,uses,veneer%1:06:01::,coating consisting of a thin layer of superior wood glued to a base of inferior wood
regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of,venerate%2:37:00::,event,veneration%1:12:00::,a feeling of profound respect for someone or something
regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of,venerate%2:37:00::,agent,venerator%1:18:00::,someone who regards with deep respect or reverence
practice venesection,venesect%2:29:00::,event,venesection%1:04:00::,surgical incision into a vein; used to treat hemochromatosis
give expression or utterance to,vent%2:32:00::,event,vent%1:04:00::,activity that frees or expresses creative energy or emotion
give expression or utterance to,vent%2:32:00::,agent,venter%1:18:00::,a speaker who expresses or gives vent to a personal opinion or grievance
expose to cool or cold air so as to cool or freshen,ventilate%2:30:00::,instrument,ventilator%1:06:00::,a device (such as a fan) that introduces fresh air or expels foul air
furnish with an opening to allow air to circulate or gas to escape,ventilate%2:30:01::,event,ventilation%1:04:00::,the act of supplying fresh air and getting rid of foul air
furnish with an opening to allow air to circulate or gas to escape,ventilate%2:30:01::,instrument,ventilator%1:06:00::,a device (such as a fan) that introduces fresh air or expels foul air
give expression or utterance to,ventilate%2:32:00::,event,ventilation%1:10:00::,free and open discussion of (or debate on) some question of public interest
circulate through and freshen,ventilate%2:38:00::,event,ventilation%1:04:00::,the act of supplying fresh air and getting rid of foul air
circulate through and freshen,ventilate%2:38:00::,event,ventilation%1:06:00::,a mechanical system in a building that provides fresh air
expose to the circulation of fresh air so as to retard spoilage,ventilate%2:39:00::,event,ventilation%1:06:00::,a mechanical system in a building that provides fresh air
expose to the circulation of fresh air so as to retard spoilage,ventilate%2:39:00::,instrument,ventilator%1:06:00::,a device (such as a fan) that introduces fresh air or expels foul air
put at risk,venture%2:41:00::,by means of,venture%1:04:01::,a commercial undertaking that risks a loss but promises a profit
put at risk,venture%2:41:00::,by means of,venture%1:21:00::,an investment that is very risky but could yield great profits
put at risk,venture%2:41:00::,agent,venturer%1:18:00::,a person who enjoys taking risks
proceed somewhere despite the risk of possible dangers,venture%2:41:01::,event,venture%1:04:00::,any venturesome undertaking especially one with an uncertain outcome
proceed somewhere despite the risk of possible dangers,venture%2:41:01::,agent,venturer%1:18:00::,a person who enjoys taking risks
express in speech,verbalise%2:32:00::,event,verbalisation%1:10:00::,the activity of expressing something in words
"articulate; either verbally or with a cry, shout, or noise",verbalise%2:32:03::,event,verbalisation%1:10:00::,the activity of expressing something in words
